127.0.0.1 - - [18/Sep/2019:09:46:33 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:46:36 +0530] "GET /Streams/ HTTP/1.1" 200 8836
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:48:17 +0530] "GET /Streams/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:48:17 +0530] "GET /Streams/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:48:17 +0530] "GET /Streams/ HTTP/1.1" 200 8859
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:48:17 +0530] "GET /Streams/ HTTP/1.1" 200 8859
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:18 +0530] "GET /Streams/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:18 +0530] "GET /Streams/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:18 +0530] "GET /Streams/ HTTP/1.1" 200 8899
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:19 +0530] "GET /Streams/ HTTP/1.1" 200 8899
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:19 +0530] "GET /Streams/ HTTP/1.1" 200 8899
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:23 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:29 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:32 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:35 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:38 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:44 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:46 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:53 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:49:58 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:01 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:02 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:02 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:03 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:03 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:10 +0530] "POST /Streams/searchEmployee HTTP/1.1" 400 1011
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:14 +0530] "POST /Streams/searchEmployee HTTP/1.1" 400 1011
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:19 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:22 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:24 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:29 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:34 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:35 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [18/Sep/2019:09:50:39 +0530] "POST /Streams/searchEmployee HTTP/1.1" 200 4179
